load_dt (UTC);map_code;load_nature;load_power (MW);commodity;load_power (GW)
2018-01-01 04:30:00+00:00;FR;load_nature_forecast D-0;48900.0;EL;48.9
2018-01-01 04:30:00+00:00;FR;load_nature_forecast D-1;45900.0;EL;45.9
2018-01-01 04:30:00+00:00;FR;load_nature_observation;50844.0;EL;50.844
2018-01-01 04:45:00+00:00;FR;load_nature_forecast D-0;48850.0;EL;48.85
2018-01-01 04:45:00+00:00;FR;load_nature_forecast D-1;45850.0;EL;45.85
2018-01-01 04:45:00+00:00;FR;load_nature_observation;;EL;
2018-01-01 05:00:00+00:00;FR;load_nature_forecast D-0;48800.0;EL;48.8
2018-01-01 05:00:00+00:00;FR;load_nature_forecast D-1;45800.0;EL;45.8
2018-01-01 05:00:00+00:00;FR;load_nature_observation;50751.0;EL;50.751
2018-01-01 05:15:00+00:00;FR;load_nature_forecast D-0;49050.0;EL;49.05
2018-01-01 05:15:00+00:00;FR;load_nature_forecast D-1;45850.0;EL;45.85
2018-01-01 05:15:00+00:00;FR;load_nature_observation;;EL;
2018-01-01 05:30:00+00:00;FR;load_nature_forecast D-0;49300.0;EL;49.3
2018-01-01 05:30:00+00:00;FR;load_nature_forecast D-1;45900.0;EL;45.9
2018-01-01 05:30:00+00:00;FR;load_nature_observation;51286.0;EL;51.286
2018-01-01 05:45:00+00:00;FR;load_nature_forecast D-0;49350.0;EL;49.35
2018-01-01 05:45:00+00:00;FR;load_nature_forecast D-1;45950.0;EL;45.95
2018-01-01 05:45:00+00:00;FR;load_nature_observation;;EL;
2018-01-01 06:00:00+00:00;FR;load_nature_forecast D-0;49400.0;EL;49.4
2018-01-01 06:00:00+00:00;FR;load_nature_forecast D-1;46000.0;EL;46.0
2018-01-01 06:00:00+00:00;FR;load_nature_observation;51180.0;EL;51.18
2018-01-01 06:15:00+00:00;FR;load_nature_forecast D-0;49500.0;EL;49.5
2018-01-01 06:15:00+00:00;FR;load_nature_forecast D-1;46000.0;EL;46.0
2018-01-01 06:15:00+00:00;FR;load_nature_observation;;EL;
2018-01-01 06:30:00+00:00;FR;load_nature_forecast D-0;49600.0;EL;49.6
2018-01-01 06:30:00+00:00;FR;load_nature_forecast D-1;46000.0;EL;46.0
2018-01-01 06:30:00+00:00;FR;load_nature_observation;51318.0;EL;51.318
2018-01-01 06:45:00+00:00;FR;load_nature_forecast D-0;49550.0;EL;49.55
2018-01-01 06:45:00+00:00;FR;load_nature_forecast D-1;46250.0;EL;46.25
2018-01-01 06:45:00+00:00;FR;load_nature_observation;;EL;
2018-01-01 07:00:00+00:00;FR;load_nature_forecast D-0;49500.0;EL;49.5
2018-01-01 07:00:00+00:00;FR;load_nature_forecast D-1;46500.0;EL;46.5
2018-01-01 07:00:00+00:00;FR;load_nature_observation;51462.0;EL;51.462
