publication_id;version;publication_dt (UTC);outage_begin_dt (UTC);outage_end_dt (UTC);unit_name;available capacity (MW);nominal capacity (MW);producer_name;map_code;production_source;creation_dt (UTC);outage_type;outage_cause;outage_status;source
-EDF-05470-EDF-T-00050292_005;5;2020-10-10 10:24:00+00:00;;;BLAYAIS 3;265.0;910.0;EDF;FR;nuclear;;planned;Information Complémentaire;Actif;RTE
-EDF-05470-EDF-T-00050292_004;4;2020-10-10 08:39:00+00:00;;;BLAYAIS 3;190.0;910.0;EDF;FR;nuclear;;planned;Information Complémentaire;Actif;RTE
-EDF-05470-EDF-T-00050292_003;3;2020-10-10 05:39:00+00:00;;;BLAYAIS 3;190.0;910.0;EDF;FR;nuclear;;planned;Information Complémentaire;Actif;RTE
-EDF-05470-EDF-T-00050292_002;2;2020-10-10 05:04:00+00:00;;;BLAYAIS 3;190.0;910.0;EDF;FR;nuclear;;planned;Information Complémentaire;Actif;RTE
-EDF-05470-EDF-T-00050292_001;1;2020-10-10 02:49:00+00:00;;;BLAYAIS 3;10.0;910.0;EDF;FR;nuclear;;planned;Information Complémentaire;Actif;RTE
-EDF-05470-EDF-T-00050261_003;3;2020-10-12 14:15:00+00:00;;;CATTENOM 2;540.0;1300.0;EDF;FR;nuclear;;planned;Information Complémentaire;Actif;RTE
-EDF-05470-EDF-T-00050261_002;2;2020-10-11 18:19:00+00:00;;;CATTENOM 2;540.0;1300.0;EDF;FR;nuclear;;planned;Information Complémentaire;Actif;RTE
-EDF-05470-EDF-T-00050261_001;1;2020-10-08 05:36:00+00:00;;;CATTENOM 2;600.0;1300.0;EDF;FR;nuclear;;planned;Information Complémentaire;Actif;RTE
-EDF-05470-EDF-T-00047114_007;7;2020-10-11 08:15:00+00:00;;;DAMPIERRE 1;0.0;890.0;EDF;FR;nuclear;;planned;Information Complémentaire;Actif;RTE
-EDF-05470-EDF-T-00047114_006;6;2020-10-10 09:59:00+00:00;;;DAMPIERRE 1;0.0;890.0;EDF;FR;nuclear;;planned;Information Complémentaire;Actif;RTE
-EDF-05470-EDF-T-00047114_005;5;2020-10-02 12:44:00+00:00;;;DAMPIERRE 1;0.0;890.0;EDF;FR;nuclear;;planned;Information Complémentaire;Actif;RTE
-EDF-05470-EDF-T-00047114_004;4;2020-07-28 10:02:00+00:00;;;DAMPIERRE 1;0.0;890.0;EDF;FR;nuclear;;planned;Information Complémentaire;Actif;RTE
-EDF-05470-EDF-T-00047114_003;3;2020-05-05 14:10:00+00:00;;;DAMPIERRE 1;0.0;890.0;EDF;FR;nuclear;;planned;Information Complémentaire;Actif;RTE
-EDF-05470-EDF-T-00047114_002;2;2020-04-24 14:17:00+00:00;;;DAMPIERRE 1;0.0;890.0;EDF;FR;nuclear;;planned;Information Complémentaire;Actif;RTE
-EDF-05470-EDF-T-00047114_001;1;2020-04-23 13:47:00+00:00;;;DAMPIERRE 1;0.0;890.0;EDF;FR;nuclear;;planned;Information Complémentaire;Actif;RTE
